Mode: 300 10 | Score final: 36252 | 2048 obtenu au coup: 959
Mode: 300 10 | Score final: 27344 | 2048 obtenu au coup: 964
Mode: 300 10 | Score final: 60476 | 2048 obtenu au coup: 939
Mode: 300 10 | Score final: 51520 | 2048 obtenu au coup: 969
Mode: 300 10 | Score final: 35412 | 2048 obtenu au coup: 961
Mode: 300 10 | Score final: 27260 | 2048 obtenu au coup: 964
Mode: 300 10 | Score final: 69764 | 2048 obtenu au coup: 957
Mode: 300 10 | Score final: 32128 | 2048 obtenu au coup: 955
Mode: 300 10 | Score final: 27464 | 2048 obtenu au coup: 945
Mode: 3000 999999 | Score final: 36188 | 2048 obtenu au coup: 979
Mode: 300 10 | Score final: 71036 | 2048 obtenu au coup: 946
Mode: 300 10 | Score final: 16208 | 2048 obtenu au coup: 0
Mode: 3000 999999 | Score final: 36452 | 2048 obtenu au coup: 952
Mode: 300 10 | Score final: 60476 | 2048 obtenu au coup: 939
